id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
37958.0,en,Immortals,25.394,2011-11-10,5.9,2024.0,"['Fantasy', 'Action', 'Drama']","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",226904017.0,110.0,The Gods need a hero.
19898.0,en,Pandorum,24.568,2009-09-08,6.5,1770.0,"['Action', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']","Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the reality of their situation is more horrifying than they could have imagined.",20648328.0,108.0,Don't fear the end of the world. Fear what happens next.
719164.0,en,Women,219.924,2021-04-08,6.1,14.0,['Thriller'],A small town detective while investigating the disappearance of a local woman comes across an unassuming Sociology professor who is hiding a secret life.,0.0,90.0,Don't Scream. Don't Run. Survive.
400155.0,en,Hotel Transylvania 3: Summer Vacation,133.111,2018-06-28,6.9,3332.0,"['Family', 'Fantasy', 'Comedy', 'Animation']","Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",528600000.0,97.0,Family vacation. It will suck the life out of you.
511785.0,en,Alex Strangelove,11.904,2018-04-16,6.6,1374.0,"['Comedy', 'Drama']","Alex Truelove is on a quest to lose his virginity, an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex, a super gregarious dude, is oddly unmotivated. A magical house party throws Alex into the presence of Elliot, a hunky college guy, who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.",0.0,99.0,Love can be confusing
14202.0,en,The Painted Veil,9.503,2006-01-01,7.3,862.0,"['Romance', 'Drama']","A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife.",26910847.0,125.0,Sometimes the greatest journey is the distance between two people.
19084.0,en,Johnson Family Vacation,8.861,2004-04-07,5.3,133.0,"['Comedy', 'Family']","Nate Johnson, a Los Angeles man estranged from his wife and three children, decides to reconnect with his family by taking them with him on a road trip to Missouri for a big family reunion.",31179516.0,97.0,Take the ride.
9293.0,en,John Tucker Must Die,12.033,2006-07-27,6.2,1117.0,"['Comedy', 'Romance']","After discovering they are all dating the same same guy, three popular students from different cliques band together for revenge, so they enlist the help of a new gal in town and conspire to break the jerk's heart, while destroying his reputation.",41009669.0,87.0,Don't Get Mad. Get Even.
13179.0,en,Tinker Bell,35.273,2008-09-11,6.7,1049.0,"['Animation', 'Family', 'Adventure', 'Fantasy']","Journey into the secret world of Pixie Hollow and hear Tinker Bell speak for the very first time as the astonishing story of Disney's most famous fairy is finally revealed in the all-new motion picture ""Tinker Bell.""",0.0,78.0,Enter the world of fairies
10562.0,en,Under Suspicion,8.97,2000-09-24,6.2,325.0,"['Thriller', 'Crime', 'Drama']","A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer.",260562.0,110.0,"In a world of secrets, the truth is never what it seems."
59981.0,en,Legends of Oz: Dorothy's Return,14.865,2014-05-08,6.0,211.0,"['Animation', 'Family', 'Fantasy']","Dorothy wakes up in post-tornado Kansas, only to be whisked back to Oz to try to save her old friends the Scarecrow, the Lion, the Tin Man and Glinda from a devious new villain, the Jester. Wiser the owl, Marshal Mallow, China Princess and Tugg the tugboat join Dorothy on her latest magical journey through the colorful landscape of Oz to restore order and happiness to Emerald City.",18662027.0,88.0,There's trouble in OZ...
9606.0,ja,メトロポリス,20.536,2001-05-26,7.0,310.0,"['Animation', 'Science Fiction']","Kenichi and his detective uncle, Shunsaku Ban, leave Japan to visit Metropolis, in search of the criminal, Dr. Laughton. However, when they finally find Dr. Laughton, Kenichi and Shunsaku find themselves seperated and plunged into the middle of a larger conspiracy. While Shunsaku searches for his nephew and explanations, Kenichi tries to protect Tima (a mysterious young girl), from Duke Red and his adopted son Rock, both of whom have very different reasons for wanting to find her.",4035192.0,108.0,Welcome to Metropolis
640.0,en,Catch Me If You Can,40.067,2002-12-25,7.9,11689.0,"['Drama', 'Crime']","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",352114312.0,141.0,The true story of a real fake.
2310.0,en,Beowulf,19.354,2007-11-05,5.8,2196.0,"['Adventure', 'Action', 'Animation']","A 6th-century Scandinavian warrior named Beowulf embarks on a mission to slay the man-like ogre, Grendel.",195735876.0,115.0,Evil breeds pain.
7350.0,en,The Bucket List,18.31,2007-12-25,7.2,2848.0,"['Drama', 'Comedy']","Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",175372502.0,97.0,Find the joy.
177494.0,en,Veronica Mars,9.841,2014-03-13,6.6,898.0,"['Comedy', 'Drama', 'Crime']","Years after walking away from her past as a teenage private eye, Veronica Mars gets pulled back to her hometown - just in time for her high school reunion - in order to help her old flame Logan Echolls, who's embroiled in a murder mystery.",3485127.0,107.0,She thought she was out.
335791.0,en,When the Bough Breaks,17.652,2016-09-09,5.8,310.0,"['Mystery', 'Drama', 'Horror']",A surrogate mother harbors a deadly secret desire for a family of her own with the husband who is expecting to raise her child.,30658387.0,97.0,She's carrying more than just a secret.
599281.0,en,Fear of Rain,40.276,2021-02-12,7.2,299.0,"['Thriller', 'Horror', 'Drama']","A teenage girl living with schizophrenia begins to suspect her neighbor has kidnapped a child. Her parents try desperately to help her live a normal life, without exposing their own tragic secrets, and the only person who believes her is Caleb – a boy she isn’t even sure exists.",0.0,109.0,Some voices you can't outrun.
272878.0,en,Max,31.724,2015-06-26,7.1,618.0,"['Adventure', 'Drama']",A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,43967255.0,111.0,Best Friend. Hero. Marine.
1427.0,en,Perfume: The Story of a Murderer,41.258,2006-09-13,7.3,3414.0,"['Crime', 'Fantasy', 'Drama']","Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",132180323.0,147.0,Based on the best-selling novel
426613.0,en,The Miseducation of Cameron Post,23.957,2018-07-18,6.9,735.0,['Drama'],"Pennsylvania, 1993. After getting caught with another girl, teenager Cameron Post is sent to a conversion therapy center run by the strict Dr. Lydia Marsh and her brother, Reverend Rick, whose treatment consists in repenting for feeling “same sex attraction.” Cameron befriends fellow sinners Jane and Adam, thus creating a new family to deal with the surrounding intolerance.",2019874.0,92.0,Come as you are.
